donor_id,event_date,event_id,donor_since_date,event_type,amount_usd,acquisition_source,was_opened,was_clicked,was_replied,was_attended,donor_region,is_recurring_donor,campaign_source,converted_to_donation
HARD2B_D0001,2024-07-18,EVT-000003,2024-07-15,email,0.0,event_booth,0,0,0,0,international,0,emergency_fund,0
HARD2B_D0001,2024-08-06,EVT-000004,2024-07-15,email,0.0,event_booth,0,0,0,0,international,0,event_invite,0
HARD2B_D0001,2024-08-31,EVT-000005,2024-07-15,direct_mail,0.0,event_booth,0,0,0,0,international,0,newsletter,0
HARD2B_D0001,2024-08-31,EVT-000006,2024-07-15,phone_call,0.0,event_booth,0,0,0,0,international,0,monthly_giving,0
HARD2B_D0001,2024-09-13,EVT-000007,2024-07-15,email,0.0,event_booth,0,0,0,0,international,0,year_end,1
HARD2B_D0001,2024-09-14,EVT-000008,2024-07-15,phone_call,0.0,event_booth,0,0,0,0,international,0,monthly_giving,0
HARD2B_D0001,2024-09-16,EVT-000001,2024-07-15,donation,21.73,event_booth,0,0,0,0,international,0,monthly_giving,0
HARD2B_D0001,2024-10-08,EVT-000002,2024-07-15,donation,5.37,event_booth,0,0,0,0,international,0,rescue_campaign,0
HARD2B_D0001,2024-10-08,EVT-000009,2024-07-15,event,0.0,event_booth,0,0,0,1,international,0,monthly_giving,0
HARD2B_D0001,2024-10-30,EVT-000010,2024-07-15,phone_call,0.0,event_booth,0,0,0,0,international,0,emergency_fund,0
HARD2B_D0001,2024-11-13,EVT-000011,2024-07-15,direct_mail,0.0,event_booth,1,0,0,0,international,0,year_end,0
HARD2B_D0001,2024-11-15,EVT-000012,2024-07-15,direct_mail,0.0,event_booth,1,0,0,0,international,0,newsletter,0
HARD2B_D0001,2024-11-20,EVT-000013,2024-07-15,event,0.0,event_booth,0,0,0,0,international,0,sms_appeal,0
HARD2B_D0001,2024-12-03,EVT-000014,2024-07-15,email,0.0,event_booth,1,1,0,0,international,0,sms_appeal,0
HARD2B_D0001,2024-12-05,EVT-000015,2024-07-15,email,0.0,event_booth,0,0,0,0,international,0,year_end,0
HARD2B_D0001,2025-01-05,EVT-000016,2024-07-15,phone_call,0.0,event_booth,0,0,0,0,international,0,event_invite,0
HARD2B_D0001,2025-02-09,EVT-000017,2024-07-15,direct_mail,0.0,event_booth,1,0,0,0,international,0,monthly_giving,0
HARD2B_D0001,2025-03-02,EVT-000018,2024-07-15,direct_mail,0.0,event_booth,0,0,0,0,international,0,social_retargeting,0
HARD2B_D0001,2025-03-15,EVT-000019,2024-07-15,phone_call,0.0,event_booth,0,0,0,0,international,0,monthly_giving,0
HARD2B_D0001,2025-03-22,EVT-000020,2024-07-15,email,0.0,event_booth,1,1,0,0,international,0,social_retargeting,0
HARD2B_D0001,2025-04-15,EVT-000021,2024-07-15,email,0.0,event_booth,0,0,0,0,international,0,year_end,0
HARD2B_D0001,2025-04-18,EVT-000022,2024-07-15,email,0.0,event_booth,1,0,0,0,international,0,rescue_campaign,0
HARD2B_D0002,2024-03-22,EVT-000029,2024-02-09,phone_call,0.0,email_petition,0,0,0,0,west,1,emergency_fund,0
HARD2B_D0002,2024-04-16,EVT-000030,2024-02-09,phone_call,0.0,email_petition,0,0,0,0,west,1,newsletter,0
HARD2B_D0002,2024-04-21,EVT-000023,2024-02-09,donation,5.0,email_petition,0,0,0,0,west,1,newsletter,0
HARD2B_D0002,2024-06-01,EVT-000031,2024-02-09,email,0.0,email_petition,0,0,0,0,west,1,year_end,1
HARD2B_D0002,2024-06-10,EVT-000024,2024-02-09,donation,12.99,email_petition,0,0,0,0,west,1,monthly_giving,0
HARD2B_D0002,2024-06-11,EVT-000032,2024-02-09,event,0.0,email_petition,0,0,0,0,west,1,social_retargeting,0
HARD2B_D0002,2024-07-03,EVT-000033,2024-02-09,email,0.0,email_petition,0,0,0,0,west,1,newsletter,0
HARD2B_D0002,2024-07-06,EVT-000025,2024-02-09,donation,10.81,email_petition,0,0,0,0,west,1,year_end,0
HARD2B_D0002,2024-07-31,EVT-000034,2024-02-09,event,0.0,email_petition,0,0,0,1,west,1,event_invite,0
HARD2B_D0002,2024-09-29,EVT-000026,2024-02-09,donation,7.66,email_petition,0,0,0,0,west,1,rescue_campaign,0
HARD2B_D0002,2024-11-03,EVT-000035,2024-02-09,phone_call,0.0,email_petition,0,0,0,0,west,1,rescue_campaign,0
HARD2B_D0002,2024-11-10,EVT-000036,2024-02-09,event,0.0,email_petition,0,0,0,0,west,1,emergency_fund,0
HARD2B_D0002,2024-11-17,EVT-000037,2024-02-09,sms,0.0,email_petition,1,0,0,0,west,1,social_retargeting,0
HARD2B_D0002,2025-01-04,EVT-000027,2024-02-09,donation,9.05,email_petition,0,0,0,0,west,1,year_end,0
HARD2B_D0002,2025-03-18,EVT-000028,2024-02-09,donation,9.05,email_petition,0,0,0,0,west,1,rescue_campaign,0
HARD2B_D0003,2024-06-19,EVT-000041,2024-06-18,direct_mail,0.0,organic_web,1,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0003,2024-07-01,EVT-000042,2024-06-18,event,0.0,organic_web,0,0,0,0,southeast,0,event_invite,0
HARD2B_D0003,2024-07-10,EVT-000043,2024-06-18,email,0.0,organic_web,0,0,0,0,southeast,0,year_end,0
HARD2B_D0003,2024-07-13,EVT-000044,2024-06-18,sms,0.0,organic_web,1,1,1,0,southeast,0,rescue_campaign,0
HARD2B_D0003,2024-08-02,EVT-000045,2024-06-18,direct_mail,0.0,organic_web,1,0,0,0,southeast,0,newsletter,0
HARD2B_D0003,2024-08-19,EVT-000046,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,emergency_fund,0
HARD2B_D0003,2024-09-02,EVT-000047,2024-06-18,sms,0.0,organic_web,0,0,0,0,southeast,0,monthly_giving,0
HARD2B_D0003,2024-09-02,EVT-000048,2024-06-18,event,0.0,organic_web,0,0,0,0,southeast,0,monthly_giving,0
HARD2B_D0003,2024-10-12,EVT-000049,2024-06-18,event,0.0,organic_web,0,0,0,0,southeast,0,rescue_campaign,1
HARD2B_D0003,2024-10-16,EVT-000050,2024-06-18,sms,0.0,organic_web,0,0,0,0,southeast,0,year_end,1
HARD2B_D0003,2024-10-21,EVT-000051,2024-06-18,event,0.0,organic_web,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0003,2024-10-29,EVT-000052,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,sms_appeal,1
HARD2B_D0003,2024-10-31,EVT-000038,2024-06-18,donation,41.45,organic_web,0,0,0,0,southeast,0,event_invite,0
HARD2B_D0003,2024-11-02,EVT-000053,2024-06-18,sms,0.0,organic_web,1,0,0,0,southeast,0,monthly_giving,0
HARD2B_D0003,2024-11-05,EVT-000054,2024-06-18,email,0.0,organic_web,1,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0003,2024-11-25,EVT-000039,2024-06-18,donation,53.94,organic_web,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0003,2024-11-29,EVT-000055,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0003,2024-12-09,EVT-000056,2024-06-18,sms,0.0,organic_web,1,0,0,0,southeast,0,newsletter,0
HARD2B_D0003,2024-12-11,EVT-000057,2024-06-18,sms,0.0,organic_web,0,0,0,0,southeast,0,event_invite,0
HARD2B_D0003,2024-12-20,EVT-000058,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,year_end,0
HARD2B_D0003,2024-12-24,EVT-000059,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,newsletter,0
HARD2B_D0003,2024-12-28,EVT-000060,2024-06-18,email,0.0,organic_web,0,0,0,0,southeast,0,emergency_fund,0
HARD2B_D0003,2024-12-28,EVT-000061,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,newsletter,0
HARD2B_D0003,2025-01-11,EVT-000062,2024-06-18,sms,0.0,organic_web,0,0,0,0,southeast,0,year_end,0
HARD2B_D0003,2025-01-15,EVT-000063,2024-06-18,phone_call,0.0,organic_web,0,0,0,0,southeast,0,year_end,0
HARD2B_D0003,2025-01-26,EVT-000064,2024-06-18,direct_mail,0.0,organic_web,0,0,0,0,southeast,0,event_invite,0
HARD2B_D0003,2025-02-12,EVT-000065,2024-06-18,email,0.0,organic_web,1,0,0,0,southeast,0,emergency_fund,0
HARD2B_D0003,2025-03-06,EVT-000066,2024-06-18,sms,0.0,organic_web,1,1,0,0,southeast,0,monthly_giving,0
HARD2B_D0003,2025-03-09,EVT-000067,2024-06-18,event,0.0,organic_web,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0003,2025-03-16,EVT-000068,2024-06-18,sms,0.0,organic_web,0,0,0,0,southeast,0,social_retargeting,1
HARD2B_D0003,2025-03-25,EVT-000040,2024-06-18,donation,40.78,organic_web,0,0,0,0,southeast,0,newsletter,0
HARD2B_D0003,2025-04-02,EVT-000069,2024-06-18,event,0.0,organic_web,0,0,0,0,southeast,0,rescue_campaign,0
HARD2B_D0003,2025-04-20,EVT-000070,2024-06-18,event,0.0,organic_web,0,0,1,0,southeast,0,monthly_giving,0
HARD2B_D0004,2023-07-30,EVT-000074,2023-07-22,phone_call,0.0,event_booth,0,0,0,0,southeast,0,rescue_campaign,0
HARD2B_D0004,2023-08-01,EVT-000075,2023-07-22,direct_mail,0.0,event_booth,0,0,0,0,southeast,0,monthly_giving,0
HARD2B_D0004,2023-08-18,EVT-000076,2023-07-22,direct_mail,0.0,event_booth,1,0,0,0,southeast,0,year_end,0
HARD2B_D0004,2023-08-21,EVT-000077,2023-07-22,email,0.0,event_booth,1,0,0,0,southeast,0,emergency_fund,0
HARD2B_D0004,2023-10-27,EVT-000078,2023-07-22,email,0.0,event_booth,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0004,2023-11-08,EVT-000079,2023-07-22,event,0.0,event_booth,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0004,2023-11-19,EVT-000080,2023-07-22,sms,0.0,event_booth,1,0,0,0,southeast,0,year_end,0
HARD2B_D0004,2023-11-22,EVT-000071,2023-07-22,donation,72.59,event_booth,0,0,0,0,southeast,0,newsletter,0
HARD2B_D0004,2023-12-21,EVT-000072,2023-07-22,donation,66.07,event_booth,0,0,0,0,southeast,0,monthly_giving,0
HARD2B_D0004,2024-01-27,EVT-000081,2023-07-22,email,0.0,event_booth,1,1,0,0,southeast,0,rescue_campaign,0
HARD2B_D0004,2024-02-20,EVT-000082,2023-07-22,email,0.0,event_booth,1,1,0,0,southeast,0,emergency_fund,0
HARD2B_D0004,2024-06-21,EVT-000083,2023-07-22,sms,0.0,event_booth,0,0,0,0,southeast,0,newsletter,0
HARD2B_D0004,2024-06-28,EVT-000084,2023-07-22,phone_call,0.0,event_booth,0,0,0,0,southeast,0,event_invite,0
HARD2B_D0004,2024-08-23,EVT-000085,2023-07-22,sms,0.0,event_booth,0,0,0,0,southeast,0,sms_appeal,0
HARD2B_D0004,2024-09-10,EVT-000086,2023-07-22,email,0.0,event_booth,0,0,0,0,southeast,0,year_end,0
HARD2B_D0004,2024-09-18,EVT-000087,2023-07-22,direct_mail,0.0,event_booth,0,0,1,0,southeast,0,newsletter,0
HARD2B_D0004,2024-11-05,EVT-000088,2023-07-22,sms,0.0,event_booth,0,0,1,0,southeast,0,monthly_giving,0
HARD2B_D0004,2024-12-11,EVT-000089,2023-07-22,phone_call,0.0,event_booth,0,0,0,0,southeast,0,rescue_campaign,0
HARD2B_D0004,2024-12-15,EVT-000090,2023-07-22,email,0.0,event_booth,1,0,0,0,southeast,0,monthly_giving,0
